Mstar,class_star,qir,log(S8/S45),log(S58/S36),log(S45/S36)
0.910639925,0.026294039,0.557778784,0.536738551,0.489087502,0.425524911
0.88580879,0.000991539,0.650518274,0.837159757,0.353852143,0.231921909
0.883929709,0.000986004,0.660463354,0.823992546,0.445369058,0.210083718
0.928802397,0.793938884,0.610216488,0.743194291,0.673675691,0.522571547
0.896377879,0.000234878,0.592081354,0.506545103,0.476879033,0.146906102
0.896051856,0.000840388,0.633576233,0.539500053,0.488963926,0.155068348
0.894273546,0.009380119,0.609842069,0.511452433,0.530282887,0.520152633
0.934487061,0.000221594,0.405545923,0.520925674,0.537277946,0.438591333
0.904694442,0.028708129,0.736520612,0.813509434,0.467483109,0.222566869
0.919537402,0.986119968,0.546675335,0.765935699,0.779484574,0.604362434
0.89567841,2.18E-05,0.599225444,0.579387015,0.505909145,0.293584262
0.909703348,0.000107979,0.623415129,0.480487139,0.497479515,0.400024739
0.883348795,0.001559009,0.590381723,0.579122085,0.455149883,0.314110155
0.917812442,0.730868149,0.50920078,0.426829107,0.509838304,0.496608142
0.93992869,0.028702896,0.363292219,0.513327424,0.462340687,0.126097123
0.930539213,0.016565025,0.60179179,0.655101438,0.687113596,0.703370821
0.882169182,0.000296163,0.588146583,0.511830817,0.634918219,0.546840766
0.903585962,0.000208109,0.63317691,0.540423969,0.489519681,0.166142617
0.94822747,7.12E-05,0.484030591,0.480729888,0.455822742,0.327428009
0.944072152,0.028334578,0.576852428,0.483176927,0.40703092,0.155815979
0.902584181,0.000279358,0.601630804,0.527174589,0.513284863,0.161602528
0.917136684,0.001004319,0.580174954,0.471594849,0.444410559,0.066187577
0.922104096,0.028158973,0.633606593,0.49829927,0.336972348,0.13808361
0.887462618,1.62E-05,0.591219993,0.333919642,0.605120615,0.49879716
0.90781834,0.001163219,0.546182364,0.465863929,0.429619828,0.247657656
0.825477254,0.028510686,0.604193724,0.801861862,0.37713247,0.185014382
0.893864534,0.000568577,0.609378133,0.472643437,0.496491934,0.233586484
0.912880595,0.107784469,0.628678768,0.507654699,0.543174078,0.413387262
0.892121791,0.000488071,0.59476115,0.581429038,0.691797996,0.623206654
0.918583043,0.00123648,0.627127251,0.454126395,0.410391703,0.107648737
0.94363943,0.000257621,0.650494453,0.510247451,0.442800466,0.222104532
0.900432426,0.00025269,0.607417133,0.486288612,0.400006927,0.130641083
0.868435295,0.024407872,0.653246191,0.425555598,0.683071796,0.423991468
0.870969386,0.000495518,0.421053147,0.320000334,0.534612563,0.437433044
0.906822486,0.770393137,0.645837026,0.580385752,0.772365177,0.733664775
0.881149618,0.028711651,0.656509677,0.87423192,0.505038505,0.396046605
0.916360155,0.027236469,0.69944036,0.5034879,0.459786049,0.159552968
0.923159227,0.063450625,0.668892075,0.503601625,0.608390797,0.59230064
0.887628594,3.42E-05,0.633795287,0.460397519,0.695735162,0.536312307
0.8837993,0.000151352,0.624869921,0.457827486,0.609526039,0.584939108
